rep	trial	male	female	cross	eggs	tank	femlen	malelen	day	rank
3	3	mI	fI	3mIfI	339	12	38	36	11	1
3	1	mJ	fI	3mJfI	286	11	38	37	3	2
3	2	mJ	fI	3mJfI	0	11	38	37	8	2
3	3	mJ	fI	3mJfI	0	11	38	37	10	2
3	1	mK	fI	3mKfI	5	15	38	36	4	3
3	2	mK	fI	3mKfI	2	15	38	36	6	3
3	3	mK	fI	3mKfI	0	15	38	36	12	3
3	1	mL	fI	3mLfI	361	14	38	37	1	4
3	2	mL	fI	3mLfI	569	14	38	37	7	4
3	3	mL	fI	3mLfI	0	14	38	37	9	4
3	1	mI	fJ	3mIfJ	3	12	35	36	3	1
3	2	mI	fJ	3mIfJ	2	12	35	36	8	1
3	3	mI	fJ	3mIfJ	0	12	35	36	9	1
3	1	mJ	fJ	3mJfJ	0	11	35	37	2	2
3	2	mJ	fJ	3mJfJ	0	11	35	37	5	2
3	3	mJ	fJ	3mJfJ	0	11	35	37	12	2
3	1	mK	fJ	3mKfJ	288	15	35	36	1	3
3	2	mK	fJ	3mKfJ	0	15	35	36	7	3
3	3	mK	fJ	3mKfJ	352	15	35	36	11	3
3	1	mL	fJ	3mLfJ	2	14	35	37	4	4
3	2	mL	fJ	3mLfJ	0	14	35	37	6	4
3	3	mL	fJ	3mLfJ	0	14	35	37	10	4
3	1	mI	fK	3mIfK	498	12	37	36	1	1
3	2	mI	fK	3mIfK	0	12	37	36	6	1
3	3	mI	fK	3mIfK	0	12	37	36	10	1
3	1	mJ	fK	3mJfK	5	11	37	37	4	2
3	2	mJ	fK	3mJfK	0	11	37	37	7	2
3	3	mJ	fK	3mJfK	0	11	37	37	11	2
3	1	mK	fK	3mKfK	4	15	37	36	2	3
3	2	mK	fK	3mKfK	0	15	37	36	8	3
3	3	mK	fK	3mKfK	0	15	37	36	9	3
3	1	mL	fK	3mLfK	3	14	37	37	3	4
3	2	mL	fK	3mLfK	2	14	37	37	5	4
3	3	mL	fK	3mLfK	0	14	37	37	12	4
3	1	mI	fL	3mIfL	235	12	37	36	4	1
3	2	mI	fL	3mIfL	354	12	37	36	7	1
3	3	mI	fL	3mIfL	296	12	37	36	12	1
3	1	mJ	fL	3mJfL	26	11	37	37	1	2
3	2	mJ	fL	3mJfL	1	11	37	37	6	2
3	3	mJ	fL	3mJfL	0	11	37	37	9	2
3	1	mK	fL	3mKfL	229	15	37	36	3	3
3	2	mK	fL	3mKfL	156	15	37	36	5	3
3	3	mK	fL	3mKfL	298	15	37	36	10	3
3	1	mL	fL	3mLfL	421	14	37	37	2	4
3	2	mL	fL	3mLfL	134	14	37	37	8	4
3	3	mL	fL	3mLfL	0	14	37	37	11	4
4	1	mM	fM	4mMfM	19	16	37	37	4	1
4	2	mM	fM	4mMfM	162	16	37	37	8	1
4	3	mM	fM	4mMfM	178	16	37	37	11	1
4	1	mN	fM	4mNfM	284	19	37	38	2	2
4	2	mN	fM	4mNfM	204	19	37	38	5	2
4	3	mN	fM	4mNfM	0	19	37	38	10	2
4	1	mO	fM	4mOfM	0	18	37	37	1	3
4	2	mO	fM	4mOfM	0	18	37	37	6	3
4	3	mO	fM	4mOfM	0	18	37	37	12	3
4	1	mP	fM	4mPfM	0	20	37	34	3	4
4	2	mP	fM	4mPfM	0	20	37	34	7	4
4	3	mP	fM	4mPfM	0	20	37	34	9	4
4	1	mM	fN	4mMfN	0	16	36	37	2	1
4	2	mM	fN	4mMfN	385	16	36	37	5	1
4	3	mM	fN	4mMfN	293	16	36	37	10	1
4	1	mN	fN	4mNfN	0	19	36	38	4	2
4	2	mN	fN	4mNfN	0	19	36	38	8	2
4	3	mN	fN	4mNfN	0	19	36	38	9	2
4	1	mO	fN	4mOfN	0	18	36	37	3	3
4	2	mO	fN	4mOfN	0	18	36	37	7	3
4	3	mO	fN	4mOfN	0	18	36	37	11	3
4	1	mP	fN	4mPfN	247	20	36	34	1	4
4	2	mP	fN	4mPfN	140	20	36	34	6	4
4	3	mP	fN	4mPfN	0	20	36	34	12	4
4	1	mM	fO	4mMfO	441	16	41	37	3	1
4	2	mM	fO	4mMfO	362	16	41	37	6	1
4	3	mM	fO	4mMfO	710	16	41	37	12	1
4	1	mN	fO	4mNfO	0	19	41	38	1	2
4	2	mN	fO	4mNfO	0	19	41	38	7	2
4	3	mN	fO	4mNfO	0	19	41	38	11	2
4	1	mO	fO	4mOfO	0	18	41	37	4	3
4	2	mO	fO	4mOfO	0	18	41	37	5	3
4	3	mO	fO	4mOfO	0	18	41	37	9	3
4	1	mP	fO	4mPfO	6	20	41	34	2	4
4	2	mP	fO	4mPfO	0	20	41	34	8	4
4	3	mP	fO	4mPfO	0	20	41	34	10	4
4	1	mM	fP	4mMfP	1	16	38	37	1	1
4	2	mM	fP	4mMfP	8	16	38	37	7	1
4	3	mM	fP	4mMfP	0	16	38	37	9	1
4	1	mN	fP	4mNfP	4	19	38	38	3	2
4	2	mN	fP	4mNfP	0	19	38	38	6	2
4	3	mN	fP	4mNfP	0	19	38	38	12	2
4	1	mO	fP	4mOfP	235	18	38	37	2	3
4	2	mO	fP	4mOfP	119	18	38	37	8	3
4	3	mO	fP	4mOfP	152	18	38	37	10	3
4	1	mP	fP	4mPfP	100	20	38	34	4	4
4	2	mP	fP	4mPfP	2	20	38	34	5	4
4	3	mP	fP	4mPfP	121	20	38	34	11	4
5	1	mQ	fQ	5mQfQ	0	22	37	NA	1	1
5	2	mQ	fQ	5mQfQ	14	22	37	NA	8	1
5	3	mQ	fQ	5mQfQ	0	22	37	NA	9	1
5	1	mR	fQ	5mRfQ	0	25	37	NA	2	2
5	2	mR	fQ	5mRfQ	594	25	37	NA	5	2
5	3	mR	fQ	5mRfQ	0	25	37	NA	10	2
5	1	mS	fQ	5mSfQ	0	21	37	NA	3	3
5	2	mS	fQ	5mSfQ	238	21	37	NA	7	3
5	3	mS	fQ	5mSfQ	452	21	37	NA	11	3
5	1	mT	fQ	5mTfQ	0	23	37	NA	4	4
5	2	mT	fQ	5mTfQ	3	23	37	NA	6	4
5	3	mT	fQ	5mTfQ	0	23	37	NA	12	4
5	1	mQ	fR	5mQfR	210	22	33	NA	4	1
5	2	mQ	fR	5mQfR	259	22	33	NA	5	1
5	3	mQ	fR	5mQfR	0	22	33	NA	10	1
5	1	mR	fR	5mRfR	0	25	33	NA	3	2
5	2	mR	fR	5mRfR	4	25	33	NA	6	2
5	3	mR	fR	5mRfR	0	25	33	NA	12	2
5	1	mS	fR	5mSfR	0	21	33	NA	1	3
5	2	mS	fR	5mSfR	0	21	33	NA	8	3
5	3	mS	fR	5mSfR	216	21	33	NA	9	3
5	1	mT	fR	5mTfR	282	23	33	NA	2	4
5	2	mT	fR	5mTfR	171	23	33	NA	7	4
5	3	mT	fR	5mTfR	107	23	33	NA	11	4
5	1	mQ	fS	5mQfS	0	22	37	NA	2	1
5	2	mQ	fS	5mQfS	282	22	37	NA	7	1
5	3	mQ	fS	5mQfS	0	22	37	NA	12	1
5	1	mR	fS	5mRfS	204	25	37	NA	1	2
5	2	mR	fS	5mRfS	176	25	37	NA	8	2
5	3	mR	fS	5mRfS	49	25	37	NA	11	2
5	1	mS	fS	5mSfS	282	21	37	NA	4	3
5	2	mS	fS	5mSfS	24	21	37	NA	6	3
5	3	mS	fS	5mSfS	298	21	37	NA	10	3
5	1	mT	fS	5mTfS	279	23	37	NA	3	4
5	2	mT	fS	5mTfS	116	23	37	NA	5	4
5	3	mT	fS	5mTfS	0	23	37	NA	9	4
5	1	mQ	fT	5mQfT	20	22	32	NA	3	1
5	2	mQ	fT	5mQfT	220	22	32	NA	6	1
5	3	mQ	fT	5mQfT	116	22	32	NA	11	1
5	1	mR	fT	5mRfT	90	25	32	NA	4	2
5	2	mR	fT	5mRfT	0	25	32	NA	7	2
5	3	mR	fT	5mRfT	82	25	32	NA	9	2
5	1	mS	fT	5mSfT	116	21	32	NA	2	3
5	2	mS	fT	5mSfT	58	21	32	NA	5	3
5	3	mS	fT	5mSfT	220	21	32	NA	12	3
5	1	mT	fT	5mTfT	120	23	32	NA	1	4
5	2	mT	fT	5mTfT	168	23	32	NA	8	4
5	3	mT	fT	5mTfT	105	23	32	NA	10	4
6	1	mU	fU	6mUfU	488	29	37	35	1	1
6	2	mU	fU	6mUfU	0	29	37	35	8	1
6	3	mU	fU	6mUfU	0	29	37	35	10	1
6	1	mV	fU	6mVfU	4	27	37	36	2	2
6	2	mV	fU	6mVfU	2	27	37	36	6	2
6	3	mV	fU	6mVfU	225	27	37	36	11	2
6	1	mW	fU	6mWfU	0	30	37	37	4	3
6	2	mW	fU	6mWfU	238	30	37	37	5	3
6	3	mW	fU	6mWfU	211	30	37	37	9	3
6	1	mX	fU	6mXfU	403	26	37	36	3	4
6	2	mX	fU	6mXfU	257	26	37	36	7	4
6	3	mX	fU	6mXfU	0	26	37	36	12	4
6	1	mU	fV	6mUfV	0	29	41	35	2	1
6	2	mU	fV	6mUfV	0	29	41	35	5	1
6	3	mU	fV	6mUfV	0	29	41	35	11	1
6	1	mV	fV	6mVfV	369	27	41	36	3	2
6	2	mV	fV	6mVfV	0	27	41	36	7	2
6	3	mV	fV	6mVfV	258	27	41	36	10	2
6	1	mW	fV	6mWfV	35	30	41	37	1	3
6	2	mW	fV	6mWfV	242	30	41	37	8	3
6	3	mW	fV	6mWfV	236	30	41	37	12	3
6	1	mX	fV	6mXfV	2	26	41	36	4	4
6	2	mX	fV	6mXfV	460	26	41	36	6	4
6	3	mX	fV	6mXfV	0	26	41	36	9	4
6	1	mU	fW	6mUfW	235	29	35	35	4	1
6	2	mU	fW	6mUfW	1	29	35	35	7	1
6	3	mU	fW	6mUfW	209	29	35	35	12	1
6	1	mV	fW	6mVfW	0	27	35	36	1	2
6	2	mV	fW	6mVfW	0	27	35	36	8	2
6	3	mV	fW	6mVfW	177	27	35	36	9	2
6	1	mW	fW	6mWfW	3	30	35	37	3	3
6	2	mW	fW	6mWfW	169	30	35	37	6	3
6	3	mW	fW	6mWfW	0	30	35	37	10	3
6	1	mX	fW	6mXfW	297	26	35	36	2	4
6	2	mX	fW	6mXfW	0	26	35	36	5	4
6	3	mX	fW	6mXfW	0	26	35	36	11	4
6	1	mU	fX	6mUfX	235	29	40	35	3	1
6	2	mU	fX	6mUfX	55	29	40	35	6	1
6	3	mU	fX	6mUfX	59	29	40	35	9	1
6	1	mV	fX	6mVfX	278	27	40	36	4	2
6	2	mV	fX	6mVfX	160	27	40	36	5	2
6	3	mV	fX	6mVfX	200	27	40	36	12	2
6	1	mW	fX	6mWfX	248	30	40	37	2	3
6	2	mW	fX	6mWfX	229	30	40	37	7	3
6	3	mW	fX	6mWfX	202	30	40	37	11	3
6	1	mX	fX	6mXfX	291	26	40	36	1	4
6	2	mX	fX	6mXfX	150	26	40	36	8	4
6	3	mX	fX	6mXfX	266	26	40	36	10	4
